python3 -u main.py --all --fail-only --split-results --output failures.txt
  --workers 10 --chunksize 1000
Starting search over all distributions. Output -> failures.txt
Using compact batched fast path
Checked 220800000/238878720 instances so far
Checked 220900352/238878720 instances so far
Checked 221000704/238878720 instances so far
Checked 221100032/238878720 instances so far
Checked 221200384/238878720 instances so far
Checked 221300736/238878720 instances so far
Checked 221400064/238878720 instances so far
Checked 221500416/238878720 instances so far
Checked 221600768/238878720 instances so far
Checked 221700096/238878720 instances so far
Checked 221800448/238878720 instances so far
Checked 221900800/238878720 instances so far
Checked 222000128/238878720 instances so far
Checked 222100480/238878720 instances so far
Checked 222200832/238878720 instances so far
Checked 222300160/238878720 instances so far
Checked 222400512/238878720 instances so far
Checked 222500864/238878720 instances so far
Checked 222600192/238878720 instances so far
Checked 222700544/238878720 instances so far
Checked 222800896/238878720 instances so far
Checked 222900224/238878720 instances so far
Checked 223000576/238878720 instances so far
Checked 223100928/238878720 instances so far
Checked 223200256/238878720 instances so far
Checked 223300608/238878720 instances so far
Checked 223400960/238878720 instances so far
Checked 223500288/238878720 instances so far
Checked 223600640/238878720 instances so far
Checked 223700992/238878720 instances so far
Checked 223800320/238878720 instances so far
Checked 223900672/238878720 instances so far
Checked 224000000/238878720 instances so far
Checked 224100352/238878720 instances so far
Checked 224200704/238878720 instances so far
Checked 224300032/238878720 instances so far
Checked 224400384/238878720 instances so far
Checked 224500736/238878720 instances so far
Checked 224600064/238878720 instances so far
Checked 224700416/238878720 instances so far
Checked 224800768/238878720 instances so far
Checked 224900096/238878720 instances so far
Checked 225000448/238878720 instances so far
Checked 225100800/238878720 instances so far
Checked 225200128/238878720 instances so far
Checked 225300480/238878720 instances so far
Checked 225400832/238878720 instances so far
Checked 225500160/238878720 instances so far
Checked 225600512/238878720 instances so far
Checked 225700864/238878720 instances so far
Checked 225800192/238878720 instances so far
Checked 225900544/238878720 instances so far
Checked 226000896/238878720 instances so far
Checked 226100224/238878720 instances so far
Checked 226200576/238878720 instances so far
Checked 226300928/238878720 instances so far
Checked 226400256/238878720 instances so far
Checked 226500608/238878720 instances so far
Checked 226600960/238878720 instances so far
Checked 226700288/238878720 instances so far
Checked 226800640/238878720 instances so far
Checked 226900992/238878720 instances so far
Checked 227000320/238878720 instances so far
Checked 227100672/238878720 instances so far
Checked 227200000/238878720 instances so far
Checked 227300352/238878720 instances so far
Checked 227400704/238878720 instances so far
Checked 227500032/238878720 instances so far
Checked 227600384/238878720 instances so far
Checked 227700736/238878720 instances so far
Checked 227800064/238878720 instances so far
Checked 227900416/238878720 instances so far
Checked 228000768/238878720 instances so far
Checked 228100096/238878720 instances so far
Checked 228200448/238878720 instances so far
Checked 228300800/238878720 instances so far
Checked 228400128/238878720 instances so far
Checked 228500480/238878720 instances so far
Checked 228600832/238878720 instances so far
Checked 228700160/238878720 instances so far
Checked 228800512/238878720 instances so far
Checked 228900864/238878720 instances so far
Checked 229000192/238878720 instances so far
Checked 229100544/238878720 instances so far
Checked 229200896/238878720 instances so far
Checked 229300224/238878720 instances so far
Checked 229400576/238878720 instances so far
Checked 229500928/238878720 instances so far
Checked 229600256/238878720 instances so far
Checked 229700608/238878720 instances so far
Checked 229800960/238878720 instances so far
Checked 229900288/238878720 instances so far
Checked 230000640/238878720 instances so far
Checked 230100992/238878720 instances so far
Checked 230200320/238878720 instances so far
Checked 230300672/238878720 instances so far
Checked 230400000/238878720 instances so far
Checked 230500352/238878720 instances so far
Checked 230600704/238878720 instances so far
Checked 230700032/238878720 instances so far
Checked 230800384/238878720 instances so far
Checked 230900736/238878720 instances so far
Checked 231000064/238878720 instances so far
Checked 231100416/238878720 instances so far
Checked 231200768/238878720 instances so far
Checked 231300096/238878720 instances so far
Checked 231400448/238878720 instances so far
Checked 231500800/238878720 instances so far
Checked 231600128/238878720 instances so far
Checked 231700480/238878720 instances so far
Checked 231800832/238878720 instances so far
Checked 231900160/238878720 instances so far
Checked 232000512/238878720 instances so far
Checked 232100864/238878720 instances so far
Checked 232200192/238878720 instances so far
Checked 232300544/238878720 instances so far
Checked 232400896/238878720 instances so far
Checked 232500224/238878720 instances so far
Checked 232600576/238878720 instances so far
Checked 232700928/238878720 instances so far
Checked 232800256/238878720 instances so far
Checked 232900608/238878720 instances so far
Checked 233000960/238878720 instances so far
Checked 233100288/238878720 instances so far
Checked 233200640/238878720 instances so far
Checked 233300992/238878720 instances so far
Checked 233400320/238878720 instances so far
Checked 233500672/238878720 instances so far
